# Time (month),FSNT (W/m2),FLNS (W/m2),FSDSC (W/m2),FSNTC (W/m2),FSNS (W/m2),FLUTC (W/m2),FSDS (W/m2),FLNT (W/m2),FLUT (W/m2),FSNSC (W/m2),TS (K),SOLIN (W/m2),FLNTC (W/m2)
5.300000000000000000e+01,2.368834734170633283e+02,5.016102581359413648e+01,2.311222017536445321e+02,2.807443768772973272e+02,1.589852296886156751e+02,2.653970082480012138e+02,1.792802698741836309e+02,2.429469096175235450e+02,2.443468680953799321e+02,2.063211793440466693e+02,2.937602331340733031e+02,3.298736233107106273e+02,2.639970498251588538e+02
5.400000000000000000e+01,2.357810139610232909e+02,4.897094167510006457e+01,2.293749848384970846e+02,2.820018492499424383e+02,1.569572201949298744e+02,2.665452194085229394e+02,1.749793708055559591e+02,2.447396276419193271e+02,2.461464212023549578e+02,2.069102088320563269e+02,2.939957245159710055e+02,3.294832371646313618e+02,2.651384258238846883e+02
5.500000000000000000e+01,2.380039415302559576e+02,4.887935656754874714e+01,2.322914340332031884e+02,2.848388468857879161e+02,1.598068845533018134e+02,2.661009990503314953e+02,1.770527205594400755e+02,2.448038187749623376e+02,2.462179580136474613e+02,2.103485658494012398e+02,2.936905420368631781e+02,3.319162397577518959e+02,2.646868596740551993e+02
5.600000000000000000e+01,2.414979006445658172e+02,4.952780541052388941e+01,2.378180632529928573e+02,2.883266839830240542e+02,1.639424437858888552e+02,2.645794955784153899e+02,1.823922338899756994e+02,2.432097340268972232e+02,2.446257812221484187e+02,2.146985297254841214e+02,2.931335883897865529e+02,3.365665217557847768e+02,2.631634483389099728e+02
5.700000000000000000e+01,2.433552053669816928e+02,4.990126876575328652e+01,2.449342592593610561e+02,2.910085484692160094e+02,1.663177274522680591e+02,2.625548438169149108e+02,1.883198774997533747e+02,2.407925128174654787e+02,2.422265047001283449e+02,2.183344616097338928e+02,2.923461891589073502e+02,3.423565764034953531e+02,2.611208519666742518e+02
5.800000000000000000e+01,2.460888176000878218e+02,4.968499163009220609e+01,2.511882049483173489e+02,2.933502860200062514e+02,1.692890392907497130e+02,2.608876047052510785e+02,1.946657081251030377e+02,2.387553675174812611e+02,2.402186785318104114e+02,2.211082426848832938e+02,2.915433847230690390e+02,3.477552318303930861e+02,2.594242936979994170e+02
5.900000000000000000e+01,2.472961785540698827e+02,4.915721806411549011e+01,2.538354805021141658e+02,2.965695098136922070e+02,1.697358485834887460e+02,2.600847160729083498e+02,1.950831670278723493e+02,2.378292366042611263e+02,2.393155884492639416e+02,2.237797711965129679e+02,2.909930221796914225e+02,3.511677614972420542e+02,2.585983643295605816e+02
6.000000000000000000e+01,2.487475820701910436e+02,4.873175287288346880e+01,2.534309160803747147e+02,2.985946920488784144e+02,1.708420550223971190e+02,2.592100208062721549e+02,1.943711780186014551e+02,2.369754829796234503e+02,2.384654184111988968e+02,2.253182353484831140e+02,2.904512355256637193e+02,3.515032055601481034e+02,2.577200854316562868e+02
6.100000000000000000e+01,2.476790548245049592e+02,4.885230236876555665e+01,2.502094312791569450e+02,2.970888508573755189e+02,1.698067349167589271e+02,2.602897194486399144e+02,1.917668763360487389e+02,2.381298937288190416e+02,2.396021825517111381e+02,2.236687165688598498e+02,2.907524808789975168e+02,3.487915157855871371e+02,2.588174306116649177e+02
6.200000000000000000e+01,2.464972697946654989e+02,4.927048529678427968e+01,2.457122742648934945e+02,2.931455553982553965e+02,1.689422203590764582e+02,2.610872629173008477e+02,1.902207716448732242e+02,2.391584188550969259e+02,2.406074347280575410e+02,2.196790974356983668e+02,2.915639195712960827e+02,3.438926921644825256e+02,2.596382470136351799e+02
6.300000000000000000e+01,2.423121883857030525e+02,5.064881242160161889e+01,2.405890266438156289e+02,2.860880867527394571e+02,1.653748353146169734e+02,2.624187246264758073e+02,1.883821287331711858e+02,2.394501324838585674e+02,2.408744128421591029e+02,2.127374659488235409e+02,2.925222698224773694e+02,3.380461108871218130e+02,2.609944442269401179e+02
6.400000000000000000e+01,2.385332433075759297e+02,5.083387349774953634e+01,2.363296476810819797e+02,2.810889744725316746e+02,1.620139864130332796e+02,2.643367261878319709e+02,1.855697534469321965e+02,2.412270386869539038e+02,2.426351770351947437e+02,2.079540861634517626e+02,2.935427733089775870e+02,3.329646889944767167e+02,2.629285877416572816e+02
6.500000000000000000e+01,2.381052895068815474e+02,4.976382354064374169e+01,2.306420646130621890e+02,2.817493514121970293e+02,1.597029809115313697e+02,2.662366693095100345e+02,1.791078589468426685e+02,2.437540893803736424e+02,2.451553060406901068e+02,2.068024801118986886e+02,2.943121670060303927e+02,3.298736233107106273e+02,2.648354526850681054e+02
6.600000000000000000e+01,2.371592248327097252e+02,4.900901695502345490e+01,2.293660998826081823e+02,2.824705091293225223e+02,1.585557183146240448e+02,2.673671861138290637e+02,1.761554408382634165e+02,2.452699818575344466e+02,2.466759088863048532e+02,2.072538705146765210e+02,2.944513470122104764e+02,3.294832371646313618e+02,2.659612591536348987e+02
6.700000000000000000e+01,2.383744349723611151e+02,4.773076186818163080e+01,2.315118353184481634e+02,2.850101323471396313e+02,1.596259609000161390e+02,2.660617270058291979e+02,1.765880842416931955e+02,2.448682852166307384e+02,2.462865076469192616e+02,2.098734396459493894e+02,2.940790560330701169e+02,3.319162397577518959e+02,2.646435044820220241e+02
6.800000000000000000e+01,2.413918456080301098e+02,4.860650459092089903e+01,2.369186805899113040e+02,2.883711140353503879e+02,1.633798593042589857e+02,2.649650430505071199e+02,1.814317689064531578e+02,2.437930933940826890e+02,2.452199364392774896e+02,2.142244536197829916e+02,2.934994218903646583e+02,3.365665217557847768e+02,2.635381999537316915e+02
6.900000000000000000e+01,2.454361818691012331e+02,5.021582615969825980e+01,2.442424989437430440e+02,2.912195907011739564e+02,1.681988760426229135e+02,2.631268090679291163e+02,1.898584601988939937e+02,2.418514423037352401e+02,2.432922707900262367e+02,2.181454276869254159e+02,2.927305298642452840e+02,3.423565764034953531e+02,2.616859805995785564e+02
7.000000000000000000e+01,2.463742096268859427e+02,4.968699148331710802e+01,2.507161901815629221e+02,2.937570315830658387e+02,1.693108756123585295e+02,2.613173974089339708e+02,1.942594599811454827e+02,2.388941313628575358e+02,2.403566233158100829e+02,2.211421530650891896e+02,2.919507758962077446e+02,3.477552318303930861e+02,2.598549052423368835e+02
