# Time (month),FLNS (W/m2),FLUT (W/m2),SOLIN (W/m2),FLNT (W/m2),FSNTC (W/m2),FSDSC (W/m2),FSNSC (W/m2),FLUTC (W/m2),FSDS (W/m2),FSNTOA (W/m2),TS (K),FLDS (W/m2),FSNT (W/m2),FSNS (W/m2),FLNTC (W/m2)
4.500000000000000000e+01,5.657781665831771534e+01,2.387098013341249896e+02,3.423565764034953531e+02,2.373894445026403730e+02,2.878838643266253712e+02,2.510656481967992022e+02,2.205457782661139561e+02,2.609303376937302232e+02,1.913060527583477324e+02,2.421415664134404153e+02,2.869518564414161119e+02,3.352108076320846521e+02,2.386683618785974659e+02,1.660519159504040942e+02,2.596099807692113473e+02
4.600000000000000000e+01,5.640031430615244545e+01,2.363209597378569526e+02,3.477552318303930861e+02,2.349772727181524772e+02,2.891008277550703838e+02,2.572162661556437797e+02,2.221469900901930714e+02,2.589454823030701505e+02,1.976185309957606364e+02,2.437592243910606271e+02,2.858192511319466007e+02,3.298553909707163143e+02,2.402655372438194661e+02,1.679210335841267181e+02,2.576017952958154638e+02
4.700000000000000000e+01,5.508161972124764816e+01,2.353049952819396253e+02,3.511677614972420542e+02,2.339370069340619978e+02,2.915612860756064606e+02,2.598216745200748505e+02,2.239202024660382904e+02,2.578208319811130877e+02,1.974869090734133579e+02,2.440211667839173799e+02,2.850070026405363137e+02,3.275456148494030231e+02,2.405089145850596140e+02,1.671956379834524569e+02,2.564528434546559197e+02
4.800000000000000000e+01,5.536582636783059996e+01,2.360810429209496704e+02,3.515032055601481034e+02,2.347011623223054642e+02,2.944334261521177609e+02,2.591985987369539544e+02,2.264249577638622100e+02,2.575130940965400441e+02,1.976879201637131018e+02,2.473379141385983644e+02,2.847333111939525452e+02,3.262545771843805937e+02,2.438011631222962023e+02,1.701709054235986116e+02,2.561332137000620151e+02
4.900000000000000000e+01,5.577397073864251098e+01,2.364347555354323163e+02,3.487915157855871371e+02,2.350700969142962720e+02,2.940906013880619980e+02,2.561122344269202813e+02,2.260358723740893083e+02,2.583401137966366150e+02,1.956864645363064028e+02,2.476667441567830679e+02,2.851471198008998158e+02,3.282917308763785513e+02,2.441322093730736640e+02,1.707621576235447662e+02,2.569754552461993171e+02
5.000000000000000000e+01,5.610928802320243136e+01,2.365711390976580901e+02,3.438926921644825256e+02,2.352334795787374730e+02,2.895774284965464744e+02,2.517641070329543425e+02,2.216925135627759005e+02,2.591437693451816244e+02,1.934482552491072340e+02,2.452379831308935820e+02,2.860013141666868819e+02,3.319531041069413959e+02,2.417471287182160040e+02,1.688153121045992577e+02,2.578061096871034010e+02
5.100000000000000000e+01,5.752961663399581482e+01,2.365910073174339345e+02,3.380461108871218130e+02,2.352722581821629433e+02,2.828880049457351333e+02,2.477756282892354136e+02,2.156837452495693697e+02,2.604449649694836921e+02,1.921015781592261931e+02,2.408489591966240937e+02,2.871394246916832458e+02,3.355511859977199833e+02,2.374349603456201692e+02,1.656046630937375710e+02,2.591262157923160316e+02
5.200000000000000000e+01,5.774077179131964499e+01,2.372451433091648596e+02,3.329646889944767167e+02,2.359448742909913221e+02,2.772206333783004766e+02,2.420696771371663090e+02,2.091457764794993750e+02,2.621637772017113548e+02,1.875729190659440633e+02,2.360239115014493620e+02,2.880693552313314854e+02,3.398405613718102813e+02,2.326946130356033393e+02,1.602839143600503462e+02,2.608635082192891446e+02
5.300000000000000000e+01,5.675599005128216845e+01,2.403812264529902052e+02,3.298736233107106273e+02,2.390885243457647960e+02,2.762104113531268581e+02,2.373618569558336162e+02,2.069683545826833324e+02,2.642079716205495288e+02,1.820213849756442528e+02,2.339711011486992618e+02,2.888295958640643448e+02,3.448170211840942443e+02,2.306835765375361404e+02,1.570724738971554473e+02,2.629152695296937168e+02
5.400000000000000000e+01,5.617247422535191959e+01,2.417451364439223767e+02,3.294832371646313618e+02,2.404481562383288349e+02,2.788201823057699471e+02,2.355646377832338487e+02,2.090404840874381875e+02,2.653426701343948935e+02,1.782958383247740244e+02,2.345918580999714607e+02,2.891197082307115238e+02,3.473050787381549753e+02,2.312770270718063728e+02,1.571919528988069032e+02,2.640456898142053888e+02
5.500000000000000000e+01,5.608360838515811508e+01,2.428844199509890416e+02,3.319162397577518959e+02,2.415869422293587547e+02,2.826310524976547072e+02,2.382425053155858734e+02,2.133690913390188939e+02,2.655983694475226571e+02,1.793545368348933948e+02,2.369665943974251263e+02,2.889428510161492341e+02,3.462519242538165258e+02,2.335882625732751876e+02,1.598217241369476085e+02,2.643008917374189082e+02
5.600000000000000000e+01,5.679175827215032513e+01,2.423223793235114556e+02,3.365665217557847768e+02,2.410144362340272153e+02,2.856896546722531980e+02,2.439763395287096728e+02,2.175602409615352997e+02,2.638989613107617060e+02,1.854975679099313481e+02,2.407015587615099150e+02,2.881798014388962201e+02,3.412926221719317255e+02,2.372662959045048012e+02,1.642951674173244214e+02,2.625910181491939284e+02
5.700000000000000000e+01,5.684073356691023804e+01,2.392929996212697574e+02,3.423565764034953531e+02,2.379706822468422160e+02,2.878305782969260349e+02,2.513434808645225189e+02,2.206092761307978947e+02,2.614526448083606169e+02,1.915321645877361050e+02,2.422089147815579508e+02,2.871463581026410452e+02,3.357120637553173879e+02,2.387359271141869499e+02,1.662243316460771325e+02,2.601303273607903179e+02
5.800000000000000000e+01,5.639246219720045161e+01,2.370262869129853982e+02,3.477552318303930861e+02,2.356790941513723112e+02,2.887995264993313071e+02,2.569490717668776938e+02,2.216059203455737929e+02,2.592631346941972197e+02,1.975342643298783400e+02,2.436277832641192163e+02,2.859283806831450079e+02,3.303937659107340323e+02,2.401341238162924583e+02,1.675482654466288750e+02,2.579159419207260271e+02
5.900000000000000000e+01,5.556325902665005145e+01,2.354053611194083260e+02,3.511677614972420542e+02,2.340360313893872899e+02,2.911676834086529198e+02,2.594780424776751033e+02,2.233640276789772940e+02,2.578107692785956147e+02,1.981570119057076056e+02,2.445325566086943638e+02,2.850429607500821589e+02,3.274757559756220644e+02,2.410208969258748368e+02,1.677054184012680480e+02,2.564414396740166353e+02
