# Time (month),SOLIN (W/m2),TS (K),FSNSC (W/m2),FLUT (W/m2),FSNS (W/m2),FLNS (W/m2),FLNTC (W/m2),FSNTC (W/m2),FLNT (W/m2),FLUTC (W/m2),FSNT (W/m2)
4.700000000000000000e+01,3.511677614972420542e+02,2.880424184648499590e+02,2.235599813995092120e+02,2.341180846707187584e+02,1.683287157618065635e+02,5.053457570843028890e+01,2.535137580197983311e+02,2.940000048133544510e+02,2.326369799708155313e+02,2.549948627025670476e+02,2.439637679713213458e+02
4.800000000000000000e+01,3.515032055601481034e+02,2.879301128983723288e+02,2.257620053623696492e+02,2.346591218445792890e+02,1.714147486242511604e+02,5.160984188976728859e+01,2.536250149548585853e+02,2.968939402672344841e+02,2.331763842560456510e+02,2.551077525363241421e+02,2.474161586977528486e+02
4.900000000000000000e+01,3.487915157855871371e+02,2.883526778179501662e+02,2.251380533944869740e+02,2.351615219717498917e+02,1.704652327488316530e+02,5.122169644598006499e+01,2.543135796161755309e+02,2.962465237061250036e+02,2.336952935419651851e+02,2.557798081965063091e+02,2.463388536149799961e+02
5.000000000000000000e+01,3.438926921644825256e+02,2.890452873437959056e+02,2.209837298513569692e+02,2.353469755221719595e+02,1.690552635782444781e+02,5.187870477826763960e+01,2.550871643891598239e+02,2.919156744645702020e+02,2.339032586879596920e+02,2.565308812670039060e+02,2.443642613797389345e+02
5.100000000000000000e+01,3.380461108871218130e+02,2.901355395298265876e+02,2.139283463176454632e+02,2.363324632952816557e+02,1.652637720069340901e+02,5.261193117881756365e+01,2.567722405098322724e+02,2.847367888756121488e+02,2.349163045768281393e+02,2.581883992362264735e+02,2.401379409822702939e+02
5.200000000000000000e+01,3.329646889944767167e+02,2.909551876786972002e+02,2.081438835335111719e+02,2.370824964654439668e+02,1.606756039121133028e+02,5.281254664724886538e+01,2.582361573117743205e+02,2.790419127478589303e+02,2.356844267819324159e+02,2.596342270173756219e+02,2.353633922063125965e+02
5.300000000000000000e+01,3.298736233107106273e+02,2.916901965924001843e+02,2.067327285929898437e+02,2.403225509973391638e+02,1.580932200351587369e+02,5.147037253292864278e+01,2.604248813411475680e+02,2.791598532234719983e+02,2.389296596535301092e+02,2.618177726641106915e+02,2.343940212958936513e+02
5.400000000000000000e+01,3.294832371646313618e+02,2.919132026505534441e+02,2.082723299627370750e+02,2.423525592093475609e+02,1.556864214923204486e+02,5.017176299058126432e+01,2.617555631234060343e+02,2.814302875051455430e+02,2.409524373438416376e+02,2.631556850005419506e+02,2.329676846807071229e+02
5.500000000000000000e+01,3.319162397577518959e+02,2.917525619759558708e+02,2.118263271309471918e+02,2.416350733136678457e+02,1.596759909825553336e+02,5.021891482890256952e+01,2.607916247478054856e+02,2.844481710414633540e+02,2.402245575207008983e+02,2.622021405873160234e+02,2.363131214546761498e+02
5.600000000000000000e+01,3.365665217557847768e+02,2.909378521347016431e+02,2.156426806466540427e+02,2.405558955325884654e+02,1.636188004053998668e+02,5.113310190733061944e+01,2.592024991086888122e+02,2.871825987549574393e+02,2.391390590413478208e+02,2.606193355605753368e+02,2.394397102811096261e+02
5.700000000000000000e+01,3.423565764034953531e+02,2.900172090716724824e+02,2.191582584168865253e+02,2.373881248583147112e+02,1.661729415398686740e+02,5.155611985200953740e+01,2.565143464246974077e+02,2.895109894100187944e+02,2.359544912385239286e+02,2.579479799820283006e+02,2.412342387555795540e+02
5.800000000000000000e+01,3.477552318303930861e+02,2.892756509248825409e+02,2.209811212097081068e+02,2.353477399747608843e+02,1.678555408367104462e+02,5.150411621220046499e+01,2.552270911973703278e+02,2.912048391739520525e+02,2.338954478682129547e+02,2.566793832433189095e+02,2.429999550299066584e+02
5.900000000000000000e+01,3.511677614972420542e+02,2.883977825019134116e+02,2.235609184600243395e+02,2.349757136229878256e+02,1.689693128649911955e+02,5.072367022719741669e+01,2.543090758012968706e+02,2.943710956507387095e+02,2.334995509615377500e+02,2.557852385320594522e+02,2.448018308707320898e+02
6.000000000000000000e+01,3.515032055601481034e+02,2.879818480731736940e+02,2.259653494564411744e+02,2.348883664165248888e+02,1.700914290624102136e+02,5.039744300596898796e+01,2.536213994615146419e+02,2.974124566884581782e+02,2.333997199281009784e+02,2.551100459722930793e+02,2.465818859464210959e+02
6.100000000000000000e+01,3.487915157855871371e+02,2.883217022451902380e+02,2.246198369015702667e+02,2.349280355851861088e+02,1.705821722803044338e+02,5.069830468584898853e+01,2.540442290389577522e+02,2.960692912752024881e+02,2.334549796050833663e+02,2.555172849428271604e+02,2.467568543652434130e+02
6.200000000000000000e+01,3.438926921644825256e+02,2.890970935350251807e+02,2.209362502644597157e+02,2.351382297152978254e+02,1.687548763117590056e+02,5.155855921560747390e+01,2.551972421480236335e+02,2.918508405605847997e+02,2.336905781243699494e+02,2.566448937525542533e+02,2.440335526058182154e+02
